35,4,0,0
35,5,0,0
35,6,0,0
35,7,0,0
35,8,0,0
35,9,0,0
35,10,0,0
37,1,-1,-1
37,2,-0.516,-0.258
37,3,0,0
37,4,0,0
37,5,0.387,0.194
37,6,0,0
37,7,0,0
37,8,0,0
37,9,0.129,0.065
37,10,0,0
39,1,-1,-1
39,2,-0.645,-0.323
39,3,-0.288,-0.144
39,4,0,0
39,5,0,0
39,6,0,0
39,7,0,0
39,8,0.774,0.387
39,9,0.516,0.258
39,10,0,0
41,1,-1,-1
41,2,-0.939,-0.47
41,3,0,0
41,4,0,0
41,5,-0.387,-0.194
41,6,0,0
41,7,0,0
41,8,0,0
41,9,0,0
41,10,0,0
43,1,-1,-1
43,2,-0.465,-0.233
43,3,0,0
43,4,0,0
43,5,0,0
43,6,0,0
43,7,0,0
43,8,0,0
43,9,0,0
43,10,0,0
,,,
44,1,-1,-1
44,2,0,0
44,3,5.511,2.755
44,4,0.645,0.323
44,5,0,0
44,6,-0.516,-0.258
44,7,-0.387,-0.194
44,8,0,0
44,9,-0.288,-0.144
44,10,-0.258,-0.129
48,1,-1,-1
48,2,0.365,0.182
48,3,5.303,2.652
48,4,0.387,0.194
48,5,0,0
48,6,-0.258,-0.129
48,7,-0.258,-0.129
48,8,0,0
48,9,0.387,0.194
48,10,0,0
50,1,-1,-1
50,2,0.939,0.47
50,3,3.794,1.897
50,4,1.471,0.735
50,5,0,0
50,6,0,0
50,7,0,0
50,8,0,0
50,9,0,0
50,10,0,0
54,1,-1,-1
54,2,-1.032,-0.516
54,3,-4.876,-2.438
54,4,-0.516,-0.258
54,5,0,0
54,6,0,0
54,7,0,0
54,8,0,0
54,9,0,0
54,10,0,0
56,1,-1,-1
56,2,0,0
56,3,5.116,2.558
56,4,0.73,0.365
56,5,0.258,0.129
56,6,0,0
56,7,0,0
56,8,0.288,0.144
56,9,0,0
56,10,0,0
58,1,-1,-1
58,2,0.288,0.144
58,3,4.876,2.438
58,4,0.258,0.129
58,5,0.129,0.065
58,6,0,0
58,7,0,0
58,8,0,0
58,9,0.695,0.347
58,10,0,0
,,,
59,1,-1,-1
59,2,-1.952,-0.976
59,3,-0.129,-0.065
59,4,0,0
59,5,-0.387,-0.194
59,6,0,0
59,7,1.04,0.52
59,8,-1.969,-0.985
59,9,0.129,0.065
59,10,-0.903,-0.452
61,1,-1,-1
61,2,-0.774,-0.387
61,3,-0.752,-0.376
61,4,0,0
61,5,-0.258,-0.129
61,6,0,0
61,7,0,0
61,8,0,0
61,9,0,0
61,10,-0.516,-0.258
63,1,-1,-1
63,2,1.217,0.608
63,3,-0.258,-0.129
63,4,-0.865,-0.433
63,5,0.129,0.065
63,6,0.903,0.452
63,7,0.129,0.065
63,8,0.387,0.194
63,9,0.129,0.065
63,10,0,0
65,1,-1,-1
65,2,0,0
65,3,0,0
65,4,0,0
65,5,0,0
