Image J,Point de référence : en bas à gauche de la cellule considérée,,,,,,,,,,,,,,,,
Name video,"output_1HYVrU
",output_3JCehT,output_5q84Sq,output_BFQlW5,output_GaRQek,output_gSz3MW,output_nkzWwN,output_Sjs50e,,Track number,,,X,Y,Distance ,Velocity,Pixel Value
,,,,,,,,,,68,56,10,561,318,0,0,54
,,,,,,,,,,69,58,1,448,338,-1,-1,64
,,,,,,,,,,70,58,2,449,336,0.288,0.144,68
,,,,,,,,,,71,58,3,472,306,4.876,2.438,112
,,,,,,,,,,72,58,4,474,306,0.258,0.129,107
,,,,,,,,,,73,58,5,474,305,0.129,0.065,52
,,,,,,,,,,74,58,6,474,305,0,0,51
,,,,,,,,,,75,58,7,474,305,0,0,76
,,,,,,,,,,76,58,8,474,305,0,0,72
,,,,,,,,,,77,58,9,476,300,0.695,0.347,69
,,,,,,,,,,78,58,10,476,300,0,0,54
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,59,1,774,364,-1,-1,69
,,,,,,,,,,2,59,2,776,349,-1.952,-0.976,90
,,,,,,,,,,3,59,3,777,349,-0.129,-0.065,106
,,,,,,,,,,4,59,4,777,349,0,0,99
,,,,,,,,,,5,59,5,777,352,-0.387,-0.194,66
,,,,,,,,,,6,59,6,777,352,0,0,99
,,,,,,,,,,7,59,7,781,345,1.04,0.52,118
,,,,,,,,,,8,59,8,773,358,-1.969,-0.985,91
,,,,,,,,,,9,59,9,773,357,0.129,0.065,93
,,,,,,,,,,10,59,10,773,364,-0.903,-0.452,108
,,,,,,,,,,11,61,1,769,428,-1,-1,72
,,,,,,,,,,12,61,2,769,422,-0.774,-0.387,99
,,,,,,,,,,13,61,3,772,417,-0.752,-0.376,76
,,,,,,,,,,14,61,4,772,417,0,0,81
,,,,,,,,,,15,61,5,774,417,-0.258,-0.129,73
,,,,,,,,,,16,61,6,774,417,0,0,79
,,,,,,,,,,17,61,7,774,417,0,0,87
,,,,,,,,,,18,61,8,774,417,0,0,101
,,,,,,,,,,19,61,9,774,417,0,0,69
,,,,,,,,,,20,61,10,774,421,-0.516,-0.258,87
,,,,,,,,,,21,63,1,902,517,-1,-1,79
,,,,,,,,,,22,63,2,910,512,1.217,0.608,93
,,,,,,,,,,23,63,3,908,512,-0.258,-0.129,95
,,,,,,,,,,24,63,4,905,518,-0.865,-0.433,75
,,,,,,,,,,25,63,5,906,518,0.129,0.065,63
,,,,,,,,,,26,63,6,913,518,0.903,0.452,72
,,,,,,,,,,27,63,7,914,518,0.129,0.065,77
,,,,,,,,,,28,63,8,917,518,0.387,0.194,85
,,,,,,,,,,29,63,9,918,518,0.129,0.065,83
,,,,,,,,,,30,63,10,918,518,0,0,105
,,,,,,,,,,31,65,1,968,481,-1,-1,69
,,,,,,,,,,32,65,2,968,481,0,0,93
,,,,,,,,,,33,65,3,968,481,0,0,106
,,,,,,,,,,34,65,4,968,481,0,0,89
,,,,,,,,,,35,65,5,968,481,0,0,88
,,,,,,,,,,36,65,6,968,481,0,0,128
,,,,,,,,,,37,65,7,968,481,0,0,82
,,,,,,,,,,38,65,8,968,481,0,0,79
,,,,,,,,,,39,65,9,968,481,0,0,101
,,,,,,,,,,40,65,10,968,481,0,0,105
,,,,,,,,,,41,67,1,678,396,-1,-1,94
,,,,,,,,,,42,67,2,682,396,0.516,0.258,99
,,,,,,,,,,43,67,3,682,396,0,0,111
,,,,,,,,,,44,67,4,682,401,0.645,0.323,106
,,,,,,,,,,45,67,5,682,401,0,0,99
